Country,Continent,Region
Afghanistan,Asia,South Asia
Albania,Europe,Southeast Europe
Algeria,Africa,North Africa
Andorra,Europe,Southwest Europe
Angola,Africa,Central Africa
Anguilla,North America,Caribbean
Antigua and Barbuda,North America,Caribbean
Argentina,South America,Southern Cone
Aruba,North America,Caribbean
Australia,Oceania,Australasia
Austria,Europe,Central Europe
Bahamas,North America,Caribbean
Bahrain,Asia,West Asia
Bangladesh,Asia,South Asia
Barbados,North America,Caribbean
Belgium,Europe,Western Europe
Belize,North America,Central America
Benin,Africa,West Africa
Bermuda,North America,Northern America
Bhutan,Asia,South Asia
Bolivia (Plurinational State of),South America,Andean States
Botswana,Africa,Southern Africa
Brazil,South America,Northwestern South America
British Virgin Islands,North America,Caribbean
Brunei Darussalam,Asia,Southeast Asia
Bulgaria,Europe,Southeast Europe
Burkina Faso,Africa,West Africa
Burundi,Africa,East Africa
Cabo Verde,Africa,West Africa
Cambodia,Asia,Southeast Asia
Cameroon,Africa,Central Africa
Canada,North America,Northern America
Cayman Islands,North America,Caribbean
Central African Republic,Africa,Central Africa
Chad,Africa,Central Africa
Chile,South America,Southern Cone
China,Asia,East Asia
"China, Hong Kong SAR",Asia,East Asia
"China, Macao SAR",Asia,East Asia
Colombia,South America,Andean States
Comoros,Africa,East Africa
Congo,Africa,Central Africa
Cook Islands,Oceania,Polynesia
Costa Rica,North America,Central America
Côte d'Ivoire,Africa,West Africa
Cuba,North America,Caribbean
Cyprus,Asia,West Asia
Czechoslovakia (Former),Europe,Central Europe
D.P.R. of Korea,Asia,East Asia
D.R. of the Congo,Africa,Central Africa
Denmark,Europe,Northern Europe
Djibouti,Africa,East Africa
Dominica,North America,Caribbean
Dominican Republic,North America,Caribbean
Ecuador,South America,Andean States
Egypt,North America,North Africa
El Salvador,North America,Central America
Equatorial Guinea,Africa,Central Africa
Eswatini,Africa,Southern Africa
Ethiopia (Former),Africa,East Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
Former Netherlands Antilles,North America,Caribbean
France,Europe,Western Europe
French Polynesia,Oceania,Polynesia
Gabon,Africa,Central Africa
Gambia,Africa,West Africa
Germany,Europe,Central Europe
Ghana,Africa,West Africa
Greece,Europe,Southern Europe
Greenland,North America,Northern America
Grenada,North America,Caribbean
Guatemala,North America,Central America
Guinea,Africa,West Africa
Guinea-Bissau,Africa,West Africa
Guyana,South America,Guianas
Haiti,North America,Caribbean
Honduras,North America,Central America
Hungary,Europe,Central Europe
Iceland,Europe,Northern Europe
India,Asia,South Asia
Indonesia,Asia,Southeast Asia
Iran (Islamic Republic of),Asia,West Asia
Iraq,Asia,West Asia
Ireland,Europe,Western Europe
Israel,Asia,West Asia
Italy,Europe,Southern Europe
Jamaica,North America,Caribbean
Japan,Asia,East Asia
Jordan,Asia,West Asia
Kenya,Africa,East Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,West Asia
Lao People's DR,Asia,Southeast Asia
Lebanon,Asia,West Asia
Lesotho,Africa,Southern Africa
Liberia,Africa,West Africa
Libya,Africa,North Africa
Liechtenstein,Europe,Western Europe
Luxembourg,Europe,Western Europe
Madagascar,Africa,East Africa
Malawi,Africa,East Africa
Malaysia,Asia,Southeast Asia
Maldives,Asia,South Asia
Mali,Africa,West Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Mauritania,Africa,West Africa
Mauritius,Africa,East Africa
Mexico,North America,Northern America
Micronesia (FS of),Oceania,Micronesia
Monaco,Europe,Western Europe
Mongolia,Asia,East Asia
Montserrat,North America,Caribbean
Morocco,Africa,North Africa
Mozambique,Africa,East Africa
Myanmar,Asia,Southeast Asia
Namibia,Africa,Southern Africa
Nauru,Oceania,Micronesia
Nepal,Asia,South Asia
Netherlands,Europe,Western Europe
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Polynesia
Nicaragua,North America,Central America
Niger,Africa,West Africa
Nigeria,Africa,West Africa
Norway,Europe,Northern Europe
Oman,Asia,West Asia
Pakistan,Asia,South Asia
Palau,Oceania,Micronesia
Panama,North America,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,Northwestern South America
Peru,South America,Andean States
Philippines,Asia,Southeast Asia
Poland,Europe,Central Europe
Portugal,Europe,Southwest Europe
Puerto Rico,North America,Caribbean
Qatar,Asia,West Asia
Republic of Korea,Asia,East Asia
Romania,Europe,Southeast Europe
Rwanda,Africa,East Africa
Saint Kitts and Nevis,North America,Caribbean
Saint Lucia,North America,Caribbean
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Central Africa
Saudi Arabia,Asia,West Asia
Senegal,Africa,West Africa
Seychelles,Africa,East Africa
Sierra Leone,Africa,West Africa
Singapore,Asia,Southeast Asia
Solomon Islands,Oceania,Melanesia
Somalia,Africa,East Africa
South Africa,Africa,Southern Africa
Spain,Europe,Southwest Europe
Sri Lanka,Asia,South Asia
St. Vincent and the Grenadines,North America,Caribbean
State of Palestine,Asia,West Asia
Sudan (Former),Africa,North Africa
Suriname,South America,Guianas
Sweden,Europe,Northern Europe
Switzerland,Europe,Central Europe
Syrian Arab Republic,Asia,West Asia
Thailand,Asia,Southeast Asia
Togo,Africa,West Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,North America,Caribbean
Tunisia,Africa,North Africa
Türkiye,Asia,West Asia
Turks and Caicos Islands,North America,Caribbean
Tuvalu,Oceania,Polynesia
U.R. of Tanzania: Mainland,Africa,East Africa
Uganda,Africa,East Africa
United Arab Emirates,Asia,West Asia
United Kingdom,Europe,Western Europe
United States,North America,Northern America
Uruguay,South America,Southern Cone
USSR (Former),Europe,Eastern Europe
Vanuatu,Oceania,Melanesia
Venezuela (Bolivarian Republic of),South America,Guianas
Viet Nam,Asia,Southeast Asia
Yemen Arab Republic (Former),Asia,West Asia
Yemen Democratic (Former),Asia,West Asia
Yugoslavia (Former),Europe,Southeast Europe
Zambia,Africa,East Africa
Zimbabwe,Africa,East Africa
